Исходное значение,Округленное до сотен,Абсолютное значение,Знак,Диапазон
-6352,-6400,6352,Отрицательное,-7000..-6001
-9181,-9200,9181,Отрицательное,-10000..-9001
-988,-1000,988,Отрицательное,-1000..-1
-1976,-2000,1976,Отрицательное,-2000..-1001
-2686,-2700,2686,Отрицательное,-3000..-2001
-5428,-5400,5428,Отрицательное,-6000..-5001
-6642,-6600,6642,Отрицательное,-7000..-6001
7870,7900,7870,Положительное,7000..7999
-7152,-7200,7152,Отрицательное,-8000..-7001
9349,9300,9349,Положительное,9000..10000
3825,3800,3825,Положительное,3000..3999
-8959,-9000,8959,Отрицательное,-9000..-8001
-9024,-9000,9024,Отрицательное,-10000..-9001
-6930,-6900,6930,Отрицательное,-7000..-6001
-2836,-2800,2836,Отрицательное,-3000..-2001
-2377,-2400,2377,Отрицательное,-3000..-2001
6559,6600,6559,Положительное,6000..6999
9726,9700,9726,Положительное,9000..10000
-9131,-9100,9131,Отрицательное,-10000..-9001
8390,8400,8390,Положительное,8000..8999
-3485,-3500,3485,Отрицательное,-4000..-3001
7856,7900,7856,Положительное,7000..7999
3746,3700,3746,Положительное,3000..3999
-2777,-2800,2777,Отрицательное,-3000..-2001
4719,4700,4719,Положительное,4000..4999
9309,9300,9309,Положительное,9000..10000
-885,-900,885,Отрицательное,-1000..-1
-9788,-9800,9788,Отрицательное,-10000..-9001
-4769,-4800,4769,Отрицательное,-5000..-4001
3848,3800,3848,Положительное,3000..3999
1149,1100,1149,Положительное,1000..1999
-895,-900,895,Отрицательное,-1000..-1
-4906,-4900,4906,Отрицательное,-5000..-4001
-2945,-2900,2945,Отрицательное,-3000..-2001
1029,1000,1029,Положительное,1000..1999
-6651,-6700,6651,Отрицательное,-7000..-6001
-6961,-7000,6961,Отрицательное,-7000..-6001
2449,2400,2449,Положительное,2000..2999
-6831,-6800,6831,Отрицательное,-7000..-6001
1763,1800,1763,Положительное,1000..1999
1270,1300,1270,Положительное,1000..1999
9782,9800,9782,Положительное,9000..10000
-1333,-1300,1333,Отрицательное,-2000..-1001
-8577,-8600,8577,Отрицательное,-9000..-8001
5054,5100,5054,Положительное,5000..5999
7571,7600,7571,Положительное,7000..7999
-5910,-5900,5910,Отрицательное,-6000..-5001
2403,2400,2403,Положительное,2000..2999
-7418,-7400,7418,Отрицательное,-8000..-7001
8089,8100,8089,Положительное,8000..8999
-394,-400,394,Отрицательное,-1000..-1
1850,1800,1850,Положительное,1000..1999
8918,8900,8918,Положительное,8000..8999
-3700,-3700,3700,Отрицательное,-4000..-3001
-7721,-7700,7721,Отрицательное,-8000..-7001
-8499,-8500,8499,Отрицательное,-9000..-8001
-2533,-2500,2533,Отрицательное,-3000..-2001
-518,-500,518,Отрицательное,-1000..-1
-7386,-7400,7386,Отрицательное,-8000..-7001
-2372,-2400,2372,Отрицательное,-3000..-2001
-6691,-6700,6691,Отрицательное,-7000..-6001
2455,2500,2455,Положительное,2000..2999
-892,-900,892,Отрицательное,-1000..-1
4857,4900,4857,Положительное,4000..4999
1954,2000,1954,Положительное,1000..1999
-4671,-4700,4671,Отрицательное,-5000..-4001
2130,2100,2130,Положительное,2000..2999
1641,1600,1641,Положительное,1000..1999
-3135,-3100,3135,Отрицательное,-4000..-3001
-1252,-1300,1252,Отрицательное,-2000..-1001
-7661,-7700,7661,Отрицательное,-8000..-7001
9960,10000,9960,Положительное,9000..10000
-4393,-4400,4393,Отрицательное,-5000..-4001
7502,7500,7502,Положительное,7000..7999
-1979,-2000,1979,Отрицательное,-2000..-1001
-4646,-4600,4646,Отрицательное,-5000..-4001
5147,5100,5147,Положительное,5000..5999
2433,2400,2433,Положительное,2000..2999
-1155,-1200,1155,Отрицательное,-2000..-1001
8250,8200,8250,Положительное,8000..8999
-2804,-2800,2804,Отрицательное,-3000..-2001
626,600,626,Положительное,0..999
-8168,-8200,8168,Отрицательное,-9000..-8001
-2495,-2500,2495,Отрицательное,-3000..-2001
-8949,-8900,8949,Отрицательное,-9000..-8001
336,300,336,Положительное,0..999
3145,3100,3145,Положительное,3000..3999
-1227,-1200,1227,Отрицательное,-2000..-1001
-7832,-7800,7832,Отрицательное,-8000..-7001
-3087,-3100,3087,Отрицательное,-4000..-3001
8585,8600,8585,Положительное,8000..8999
311,300,311,Положительное,0..999
-3033,-3000,3033,Отрицательное,-4000..-3001
6358,6400,6358,Положительное,6000..6999
2964,3000,2964,Положительное,2000..2999
5035,5000,5035,Положительное,5000..5999
-5319,-5300,5319,Отрицательное,-6000..-5001
-1321,-1300,1321,Отрицательное,-2000..-1001
-5425,-5400,5425,Отрицательное,-6000..-5001
-1919,-1900,1919,Отрицательное,-2000..-1001
8394,8400,8394,Положительное,8000..8999
7661,7700,7661,Положительное,7000..7999
-1391,-1400,1391,Отрицательное,-2000..-1001
9155,9200,9155,Положительное,9000..10000
4038,4000,4038,Положительное,4000..4999
9121,9100,9121,Положительное,9000..10000
3087,3100,3087,Положительное,3000..3999
1861,1900,1861,Положительное,1000..1999
-2814,-2800,2814,Отрицательное,-3000..-2001
-5468,-5500,5468,Отрицательное,-6000..-5001
6696,6700,6696,Положительное,6000..6999
6171,6200,6171,Положительное,6000..6999
-7022,-7000,7022,Отрицательное,-8000..-7001
-8457,-8500,8457,Отрицательное,-9000..-8001
-6408,-6400,6408,Отрицательное,-7000..-6001
-4992,-5000,4992,Отрицательное,-5000..-4001
-4758,-4800,4758,Отрицательное,-5000..-4001
3833,3800,3833,Положительное,3000..3999
9543,9500,9543,Положительное,9000..10000
-7919,-7900,7919,Отрицательное,-8000..-7001
2608,2600,2608,Положительное,2000..2999
2504,2500,2504,Положительное,2000..2999
9526,9500,9526,Положительное,9000..10000
5337,5300,5337,Положительное,5000..5999
7338,7300,7338,Положительное,7000..7999
-1762,-1800,1762,Отрицательное,-2000..-1001
8128,8100,8128,Положительное,8000..8999
-9624,-9600,9624,Отрицательное,-10000..-9001
-6247,-6200,6247,Отрицательное,-7000..-6001
7595,7600,7595,Положительное,7000..7999
-1257,-1300,1257,Отрицательное,-2000..-1001
1146,1100,1146,Положительное,1000..1999
-6345,-6300,6345,Отрицательное,-7000..-6001
-383,-400,383,Отрицательное,-1000..-1
4246,4200,4246,Положительное,4000..4999
-4818,-4800,4818,Отрицательное,-5000..-4001
4867,4900,4867,Положительное,4000..4999
-9894,-9900,9894,Отрицательное,-10000..-9001
-1370,-1400,1370,Отрицательное,-2000..-1001
6403,6400,6403,Положительное,6000..6999
-4146,-4100,4146,Отрицательное,-5000..-4001
6635,6600,6635,Положительное,6000..6999
-6514,-6500,6514,Отрицательное,-7000..-6001
-221,-200,221,Отрицательное,-1000..-1
6635,6600,6635,Положительное,6000..6999
9954,10000,9954,Положительное,9000..10000
-3483,-3500,3483,Отрицательное,-4000..-3001
-4992,-5000,4992,Отрицательное,-5000..-4001
2252,2300,2252,Положительное,2000..2999
-4707,-4700,4707,Отрицательное,-5000..-4001
7674,7700,7674,Положительное,7000..7999
7378,7400,7378,Положительное,7000..7999
-9982,-10000,9982,Отрицательное,-10000..-9001
9626,9600,9626,Положительное,9000..10000
621,600,621,Положительное,0..999
6010,6000,6010,Положительное,6000..6999
-9362,-9400,9362,Отрицательное,-10000..-9001
-6335,-6300,6335,Отрицательное,-7000..-6001
1894,1900,1894,Положительное,1000..1999
76,100,76,Положительное,0..999
-2154,-2200,2154,Отрицательное,-3000..-2001
-8102,-8100,8102,Отрицательное,-9000..-8001
-2108,-2100,2108,Отрицательное,-3000..-2001
8591,8600,8591,Положительное,8000..8999
-7420,-7400,7420,Отрицательное,-8000..-7001
-7194,-7200,7194,Отрицательное,-8000..-7001
5924,5900,5924,Положительное,5000..5999
-7733,-7700,7733,Отрицательное,-8000..-7001
7455,7500,7455,Положительное,7000..7999
-5880,-5900,5880,Отрицательное,-6000..-5001
-5793,-5800,5793,Отрицательное,-6000..-5001
5574,5600,5574,Положительное,5000..5999
8015,8000,8015,Положительное,8000..8999
-4590,-4600,4590,Отрицательное,-5000..-4001
-1315,-1300,1315,Отрицательное,-2000..-1001
7290,7300,7290,Положительное,7000..7999
9876,9900,9876,Положительное,9000..10000
3865,3900,3865,Положительное,3000..3999
-3060,-3100,3060,Отрицательное,-4000..-3001
7671,7700,7671,Положительное,7000..7999
-3409,-3400,3409,Отрицательное,-4000..-3001
214,200,214,Положительное,0..999
3074,3100,3074,Положительное,3000..3999
2236,2200,2236,Положительное,2000..2999
4355,4400,4355,Положительное,4000..4999
6959,7000,6959,Положительное,6000..6999
4794,4800,4794,Положительное,4000..4999
-6035,-6000,6035,Отрицательное,-7000..-6001
-1877,-1900,1877,Отрицательное,-2000..-1001
-2638,-2600,2638,Отрицательное,-3000..-2001
-7902,-7900,7902,Отрицательное,-8000..-7001
1078,1100,1078,Положительное,1000..1999
-9311,-9300,9311,Отрицательное,-10000..-9001
9277,9300,9277,Положительное,9000..10000
8150,8200,8150,Положительное,8000..8999
-2460,-2500,2460,Отрицательное,-3000..-2001
9282,9300,9282,Положительное,9000..10000
-2784,-2800,2784,Отрицательное,-3000..-2001
-9765,-9800,9765,Отрицательное,-10000..-9001
-7674,-7700,7674,Отрицательное,-8000..-7001
-8071,-8100,8071,Отрицательное,-9000..-8001
-2499,-2500,2499,Отрицательное,-3000..-2001
-7792,-7800,7792,Отрицательное,-8000..-7001
-8971,-9000,8971,Отрицательное,-9000..-8001
827,800,827,Положительное,0..999
-7679,-7700,7679,Отрицательное,-8000..-7001
6847,6800,6847,Положительное,6000..6999
-2202,-2200,2202,Отрицательное,-3000..-2001
-875,-900,875,Отрицательное,-1000..-1
5906,5900,5906,Положительное,5000..5999
-2980,-3000,2980,Отрицательное,-3000..-2001
7669,7700,7669,Положительное,7000..7999
-5665,-5700,5665,Отрицательное,-6000..-5001
