Исходные значения,Знак,Диапазон,По возрастанию,По убыванию
-6352,Отрицательное,-7000..-6001,-9987,9999
-9181,Отрицательное,-10000..-9001,-9982,9976
-988,Отрицательное,-1000..-1,-9963,9960
-1976,Отрицательное,-2000..-1001,-9945,9954
-2686,Отрицательное,-3000..-2001,-9930,9951
-5428,Отрицательное,-6000..-5001,-9916,9898
-6642,Отрицательное,-7000..-6001,-9913,9879
7870,Положительное,7000..7999,-9894,9876
-7152,Отрицательное,-8000..-7001,-9884,9867
9349,Положительное,9000..10000,-9819,9864
3825,Положительное,3000..3999,-9807,9853
-8959,Отрицательное,-9000..-8001,-9788,9819
-9024,Отрицательное,-10000..-9001,-9765,9782
-6930,Отрицательное,-7000..-6001,-9744,9782
-2836,Отрицательное,-3000..-2001,-9695,9767
-2377,Отрицательное,-3000..-2001,-9684,9726
6559,Положительное,6000..6999,-9668,9674
9726,Положительное,9000..10000,-9624,9640
-9131,Отрицательное,-10000..-9001,-9599,9626
8390,Положительное,8000..8999,-9586,9596
-3485,Отрицательное,-4000..-3001,-9552,9555
7856,Положительное,7000..7999,-9537,9548
3746,Положительное,3000..3999,-9517,9543
-2777,Отрицательное,-3000..-2001,-9435,9534
4719,Положительное,4000..4999,-9365,9533
9309,Положительное,9000..10000,-9362,9526
-885,Отрицательное,-1000..-1,-9360,9511
-9788,Отрицательное,-10000..-9001,-9333,9498
-4769,Отрицательное,-5000..-4001,-9321,9498
3848,Положительное,3000..3999,-9311,9481
1149,Положительное,1000..1999,-9225,9458
-895,Отрицательное,-1000..-1,-9200,9414
-4906,Отрицательное,-5000..-4001,-9188,9401
-2945,Отрицательное,-3000..-2001,-9181,9395
1029,Положительное,1000..1999,-9159,9349
-6651,Отрицательное,-7000..-6001,-9153,9326
-6961,Отрицательное,-7000..-6001,-9131,9319
2449,Положительное,2000..2999,-9117,9309
-6831,Отрицательное,-7000..-6001,-9112,9284
1763,Положительное,1000..1999,-9096,9282
1270,Положительное,1000..1999,-9060,9277
