Диапазон,Количество,Сумма,Среднее,Минимум,Максимум
-10000..-9001,44,-418036,-9500.82,-9987,-9024
-9000..-8001,46,-388683,-8449.63,-8984,-8003
-8000..-7001,51,-383694,-7523.41,-7960,-7008
-7000..-6001,55,-356641,-6484.38,-6976,-6022
-6000..-5001,38,-209418,-5511.0,-5926,-5007
-5000..-4001,47,-215936,-4594.38,-4993,-4042
-4000..-3001,44,-153298,-3484.05,-3988,-3016
-3000..-2001,60,-149630,-2493.83,-2998,-2006
-2000..-1001,63,-94096,-1493.59,-1996,-1002
-1000..-1,55,-30258,-550.15,-988,-36
0..999,49,23194,473.35,0,983
1000..1999,41,59298,1446.29,1005,1954
2000..2999,36,89463,2485.08,2087,2997
3000..3999,56,196032,3500.57,3056,3983
4000..4999,56,251854,4497.39,4014,4982
5000..5999,55,301714,5485.71,5017,5998
6000..6999,43,278458,6475.77,6008,6988
7000..7999,50,378299,7565.98,7005,7996
8000..8999,57,480740,8434.04,8015,8978
9000..10000,54,513035,9500.65,9002,9999
